id	name	type	description	rarity	price	hp_bonus	str_bonus	def_bonus	agi_bonus	mag_bonus	luk_bonus	required_level	is_shop_item	is_active	sort_order	created_at	updated_at	spr_bonus	sub_type	element	sell_price	mp_bonus	unlock_city_id
6	布の服	armor	最低限の防具	K	10	6	0	6	2	0	1	1	1	1	10	2026-06-05T16:41:52.000000Z	2026-06-11T14:58:17.000000Z	0	軽装		2	0	1
7	革の鎧	armor	軽くて動きやすい革鎧	J	100	23	0	16	0	0	0	2	1	1	20	2026-06-05T16:41:52.000000Z	2026-06-11T14:58:17.000000Z	3	重装		25	0	1
8	鉄の鎧	armor	防御力の高い鉄鎧	K	500	40	0	27	0	0	0	5	1	1	690	2026-06-05T16:41:52.000000Z	2026-06-11T14:58:17.000000Z	5	重装		125	0	1
9	魔法のローブ	armor	魔力を補うローブ	K	400	14	0	10	0	0	0	5	1	1	680	2026-06-05T16:41:52.000000Z	2026-06-11T14:58:17.000000Z	5	法衣		100	0	1
40	ロックワームの岩鎧	armor	ドロップ品: ロックワームの岩鎧	rare	297	174	0	63	0	0	0	1	0	0	1410	2026-06-07T01:15:40.000000Z	2026-06-11T14:58:17.000000Z	0	重装		74	0	
69	ストーンゴーレムの岩鎧	armor	ドロップ品: ストーンゴーレムの岩鎧	rare	297	176	0	63	0	0	0	1	0	0	1420	2026-06-07T01:15:41.000000Z	2026-06-11T14:58:17.000000Z	0	重装		74	0	
84	荒くれ航海士の鎧	armor	ドロップ品: 荒くれ航海士の鎧。海賊の隠れ家の耐久型。水属性と周回用の安定感を付与。	rare	6800	83	0	42	4	0	4	34	0	1	1430	2026-06-07T01:15:41.000000Z	2026-06-11T14:58:17.000000Z	10	革鎧	水	1700	0	
93	封印の守護者の鎧	armor	ドロップ品: 封印の守護者の鎧	rare	297	334	0	119	0	0	0	1	0	0	1440	2026-06-07T01:15:41.000000Z	2026-06-11T14:58:17.000000Z	0	重装		74	0	
101	ルートワームの鎧	armor	ドロップ品: ルートワームの鎧。世界樹の根の耐久型。精霊都市序盤のHP寄り防具。	rare	9800	101	0	52	0	0	0	46	0	1	1450	2026-06-07T01:15:41.000000Z	2026-06-11T14:58:17.000000Z	10	重装	水	2450	0	
103	樹海ゴーレムの岩鎧	armor	ドロップ品: 樹海ゴーレムの岩鎧。世界樹の根の重装型。ルートワーム鎧より防御を上に設定。	rare	11000	105	0	59	0	0	0	48	0	1	1460	2026-06-07T01:15:41.000000Z	2026-06-11T14:58:17.000000Z	7	重装	水	2750	0	
