id	name	type	description	rarity	price	hp_bonus	str_bonus	def_bonus	agi_bonus	mag_bonus	luk_bonus	required_level	is_shop_item	is_active	sort_order	created_at	updated_at	spr_bonus	sub_type	element	sell_price	mp_bonus	unlock_city_id	weapon_category	weapon_hand_type	weapon_role	armor_category	armor_weight	armor_role	external_item_id	weapon_family_id	weapon_family_name	weapon_rank	weapon_rank_sort	weapon_rank_multiplier	evolution_stage	next_item_external_id	is_evolution_enabled	is_drop_enabled	is_supply_enabled	max_enhance	armor_family_id	armor_family_name	armor_category_id	armor_category_name	armor_rank	armor_rank_sort	armor_rank_multiplier	evolution_group_id	next_armor_external_id	accessory_family_id	accessory_family_name	accessory_category_id	accessory_category_name	accessory_rank	accessory_rank_sort	accessory_rank_multiplier	next_accessory_external_id
10	魔除けの護符	accessory	初心者用のお守り	normal	10	0	0	0	0	0	4	1	1	1	0	2026-06-05T07:41:52.000000Z	2026-06-12T14:14:10.000000Z	0			9	0	1											0	1	0		0	0	0	0						0	1								0	1	
11	旅人のお守り	accessory	旅の安全を願うお守り	normal	80	7	0	0	0	0	5	1	1	1	0	2026-06-05T07:41:52.000000Z	2026-06-12T14:14:10.000000Z	0			9	0	1											0	1	0		0	0	0	0						0	1								0	1	
12	俊足の指輪	accessory	素早さを高める指輪	normal	220	0	0	0	7	0	0	3	1	1	0	2026-06-05T07:41:52.000000Z	2026-06-12T14:14:10.000000Z	0			13	0	1											0	1	0		0	0	0	0						0	1								0	1	
13	力の腕輪	accessory	STRを高める腕輪	normal	300	0	7	0	0	0	0	4	1	1	0	2026-06-05T07:41:52.000000Z	2026-06-12T14:14:10.000000Z	0			16	0	1											0	1	0		0	0	0	0						0	1								0	1	
14	魔力の首飾り	accessory	MAGを高める首飾り	normal	300	0	0	0	0	7	0	4	1	1	0	2026-06-05T07:41:52.000000Z	2026-06-12T14:14:10.000000Z	0			16	0	1											0	1	0		0	0	0	0						0	1								0	1	
30	スライムの印	accessory	ドロップ品: スライムの印	rare	339	25	0	4	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
31	野うさぎの足飾り	accessory	ドロップ品: 野うさぎの足飾り	rare	339	0	0	0	5	0	4	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
32	草原コウモリの羽飾り	accessory	ドロップ品: 草原コウモリの羽飾り	rare	339	0	0	0	5	0	4	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
33	見習い盗賊の印	accessory	ドロップ品: 見習い盗賊の印	rare	339	0	5	0	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
34	草むらウルフの印	accessory	ドロップ品: 草むらウルフの印	rare	339	0	0	0	5	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
36	森スライムの印	accessory	ドロップ品: 森スライムの印	rare	339	37	0	4	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
37	小鬼シャーマンの印	accessory	ドロップ品: 小鬼シャーマンの印	rare	339	0	0	0	0	6	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
38	ゴブリン隊長の印	accessory	ドロップ品: ゴブリン隊長の印	rare	339	0	7	0	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
39	洞窟コウモリの羽飾り	accessory	ドロップ品: 洞窟コウモリの羽飾り	rare	339	0	0	0	63	0	27	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
42	石かじりネズミの印	accessory	ドロップ品: 石かじりネズミの印	rare	339	0	0	0	8	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
43	洞窟トロルの印	accessory	ドロップ品: 洞窟トロルの印	rare	339	0	9	0	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
44	丘ウルフの印	accessory	ドロップ品: 丘ウルフの印	rare	339	0	0	0	9	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
45	銀毛ウルフの印	accessory	ドロップ品: 銀毛ウルフの印	rare	339	0	0	0	10	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
46	ハーピーの羽飾り	accessory	ドロップ品: ハーピーの羽飾り	rare	339	0	0	0	8	0	4	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
47	ならず者斥候の印	accessory	ドロップ品: ならず者斥候の印	rare	339	0	0	0	11	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
48	群れの長の印	accessory	ドロップ品: 群れの長の印	rare	339	70	6	6	6	6	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
49	ゾンビの印	accessory	ドロップ品: ゾンビの印	rare	339	0	6	0	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
51	墓守の亡霊の印	accessory	ドロップ品: 墓守の亡霊の印	rare	339	0	7	0	0	0	0	1	0	1	0	2026-06-06T16:15:40.000000Z	2026-06-12T14:14:10.000000Z	0			85	0												0	1	0		0	0	0	0						0	1								0	1	
