final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
1	1	モンスターマスタ	1	1	スライム	0	1	王都アークレア	1	はじまりの草原	雑魚	1	耐久型	自然	レアドロップ	スライムの印	印	印系	通常撃破時	1.2	NO			HP+30、DEF+3	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
2	1	モンスターマスタ	1	MAT0001	スライム	0	1	王都アークレア	1	はじまりの草原	雑魚	1	耐久型	自然	素材ドロップ	スライムの粘液	素材	素材系	通常撃破時	35	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0001	通常素材	N	5	YES	防具	通常量産素材	10〜40個程度。基本武器の主素材
3	2	モンスターマスタ	2	2	野うさぎ	0	1	王都アークレア	1	はじまりの草原	雑魚	1	高速型	自然	レアドロップ	野うさぎの足飾り	装飾品	武器系	通常撃破時	2	NO			SPD+3、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
4	2	モンスターマスタ	2	MAT0002	野うさぎ	0	1	王都アークレア	1	はじまりの草原	雑魚	1	高速型	自然	素材ドロップ	野うさぎの毛皮	素材	素材系	通常撃破時	35	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0002	通常素材	N	5	YES	軽武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
5	3	モンスターマスタ	3	3	草原コウモリ	0	1	王都アークレア	1	はじまりの草原	やや強い	2	高速型	自然	レアドロップ	草原コウモリの羽飾り	装飾品	武器系	通常撃破時	1.5	NO			SPD+3、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
6	3	モンスターマスタ	3	MAT0003	草原コウモリ	0	1	王都アークレア	1	はじまりの草原	やや強い	2	高速型	自然	素材ドロップ	草原コウモリの翼膜	素材	素材系	通常撃破時	28	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0003	通常素材	N+	10	YES	軽武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
7	4	モンスターマスタ	4	4	見習い盗賊	0	1	王都アークレア	1	はじまりの草原	レア敵	3	物理型	自然	レアドロップ	見習い盗賊の印	印	印系	通常撃破時	0.8	NO			HP+20、STR+4	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
8	4	モンスターマスタ	4	MAT0004	見習い盗賊	0	1	王都アークレア	1	はじまりの草原	レア敵	3	物理型	自然	素材ドロップ	見習い盗賊の徽章	素材	素材系	通常撃破時	8	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0004	レア素材	R	25	YES	武器	希少量産素材	3〜10個程度。高級武器の中核素材
9	5	モンスターマスタ	5	5	草むらウルフ	0	1	王都アークレア	1	はじまりの草原	最深部候補	3	高速型	自然	レアドロップ	草むらウルフの印	印	印系	通常撃破時	0.6	NO			SPD+4、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
10	5	モンスターマスタ	5	MAT0005	草むらウルフ	0	1	王都アークレア	1	はじまりの草原	最深部候補	3	高速型	自然	素材ドロップ	草むらウルフの毛皮	素材	素材系	通常撃破時	12	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0005	準レア素材	R	25	YES	軽武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
11	6	ボスマスタ	351	MAT0006	草原の大スライム	1	1	王都アークレア	1	はじまりの草原	ボス	3	バランス型	自然	素材初回報酬	草原の大スライムの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0006	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
12	7	モンスターマスタ	6	6	ゴブリン	0	1	王都アークレア	2	小鬼の森	雑魚	3	物理型	自然	レアドロップ	ゴブリンソード	武器	武器系	通常撃破時	2	NO			STR+12、SPD+1	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
13	7	モンスターマスタ	6	MAT0007	ゴブリン	0	1	王都アークレア	2	小鬼の森	雑魚	3	物理型	自然	素材ドロップ	ゴブリンの牙	素材	素材系	通常撃破時	35	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0007	通常素材	N	10	YES	武器	通常量産素材	10〜40個程度。基本武器の主素材
14	8	モンスターマスタ	7	7	ゴブリン弓兵	0	1	王都アークレア	2	小鬼の森	雑魚	4	物理型	自然	レアドロップ	ゴブリン弓兵の弓	武器	武器系	通常撃破時	2	NO			STR+11	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
15	8	モンスターマスタ	7	MAT0008	ゴブリン弓兵	0	1	王都アークレア	2	小鬼の森	雑魚	4	物理型	自然	素材ドロップ	ゴブリン弓兵の牙	素材	素材系	通常撃破時	35	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0008	通常素材	N	15	YES	武器	通常量産素材	10〜40個程度。基本武器の主素材
16	9	モンスターマスタ	8	8	森スライム	0	1	王都アークレア	2	小鬼の森	やや強い	5	耐久型	自然	レアドロップ	森スライムの印	印	印系	通常撃破時	1	NO			HP+40、DEF+4	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
17	9	モンスターマスタ	8	MAT0009	森スライム	0	1	王都アークレア	2	小鬼の森	やや強い	5	耐久型	自然	素材ドロップ	森スライムの粘液	素材	素材系	通常撃破時	28	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0009	通常素材	N+	20	YES	防具	中級量産素材	5〜20個程度。中級武器の補助素材
18	10	モンスターマスタ	9	9	小鬼シャーマン	0	1	王都アークレア	2	小鬼の森	レア敵	5	魔法型	自然	レアドロップ	小鬼シャーマンの印	印	印系	通常撃破時	0.8	NO			MP+15、MAG+5	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
