id	name	type	description	rarity	price	hp_bonus	str_bonus	def_bonus	agi_bonus	mag_bonus	luk_bonus	required_level	is_shop_item	is_active	sort_order	created_at	updated_at	spr_bonus	sub_type	element	sell_price	mp_bonus	unlock_city_id
1	木の剣	weapon	初心者用の木製の剣	K	10	0	12	0	1	0	0	1	1	1	10	2026-06-05T16:41:52.000000Z	2026-06-11T13:19:28.000000Z	0	剣		2	0	1
2	鉄の剣	weapon	扱いやすい鉄製の剣	K	120	0	20	0	2	0	0	2	1	1	20	2026-06-05T16:41:52.000000Z	2026-06-11T13:19:28.000000Z	0	剣		14	0	1
3	鋼の剣	weapon	小鬼の森でも頼れる剣	J	450	0	30	0	2	0	0	5	1	1	60	2026-06-05T16:41:52.000000Z	2026-06-11T13:19:28.000000Z	0	剣		23	0	1
4	魔術師の杖	weapon	魔力を高める杖	K	160	0	0	0	0	22	0	2	1	1	30	2026-06-05T16:41:52.000000Z	2026-06-11T13:19:28.000000Z	4	杖		14	25	1
5	盗賊の短剣	weapon	素早く扱える短剣	K	200	0	18	0	1	0	0	3	1	1	40	2026-06-05T16:41:52.000000Z	2026-06-11T13:19:28.000000Z	0	剣		16	0	1
35	ゴブリン弓兵の弓	weapon	ドロップ品: ゴブリン弓兵の弓	rare	424	0	47	0	4	0	6	1	0	1	1740	2026-06-07T01:15:40.000000Z	2026-06-11T13:19:29.000000Z	0	弓		106	0	
41	スケルトン見習いの骨剣	weapon	ドロップ品: スケルトン見習いの骨剣	rare	424	0	47	0	3	0	0	1	0	1	1750	2026-06-07T01:15:40.000000Z	2026-06-11T13:19:29.000000Z	0	剣		106	0	
50	スケルトンの骨剣	weapon	ドロップ品: スケルトンの骨剣	rare	424	0	47	0	3	0	0	1	0	1	1760	2026-06-07T01:15:40.000000Z	2026-06-11T13:19:29.000000Z	0	剣		106	0	
59	訓練兵の武器	weapon	ドロップ品: 訓練兵の武器	rare	424	0	0	0	0	16	6	1	0	1	1770	2026-06-07T01:15:40.000000Z	2026-06-11T13:19:29.000000Z	0	魔導具		106	27	
60	見習い剣士の剣	weapon	ドロップ品: 見習い剣士の剣	rare	424	0	18	0	3	0	0	1	0	1	1780	2026-06-07T01:15:40.000000Z	2026-06-11T13:19:29.000000Z	0	剣		106	0	
74	錆びた甲板兵の武器	weapon	ドロップ品: 錆びた甲板兵の武器	rare	424	0	72	0	0	16	6	1	0	1	1790	2026-06-07T01:15:41.000000Z	2026-06-11T13:19:29.000000Z	0	魔導具		106	27	
